"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.171,0.0004731067774746342,0.00006004032893915126,0.00004750193626760461,0.0013720096546764391,0.000023415728286268994,0.000023750968133802304
0.17200000000000001,0.000455237707205856,0.00006134449285352493,0.00004860905902064353,0.0013201893508969823,0.000023924352212874724,0.000024304529510321765
0.17300000000000001,0.0004386323522338109,0.00006268371252548578,0.00004973827389912683,0.0012720338214780517,0.000024446647884939456,0.000024869136949563416
0.17400000000000002,0.000423169246345121,0.00006405808163954222,0.000050889786502210114,0.0012271908144008508,0.000024982651839421465,0.000025444893251105057
0.17500000000000002,0.0004087414309172616,0.00006546774730454319,0.00005206381322897526,0.0011853501496600586,0.000025532421448771842,0.00002603190661448763
0.17600000000000002,0.0003952544047948091,0.00006691290457888972,0.00005326058030334363,0.0011462377739049465,0.000026096032785766993,0.000026630290151671814
0.177,0.0003826244062137963,0.00006839379182679641,0.00005448032294273131,0.0011096107780200093,0.000026673578812450603,0.000027240161471365653
0.178,0.0003707769664910908,0.00006991068676713758,0.000055723284646903285,0.0010752532028241633,0.00002726516783918366,0.000027861642323451643
0.179,0.0003596456872630248,0.00007146390310227156,0.00005698971658779669,0.001042972493062772,0.00002787092220988591,0.000028494858293898344
0.18,0.0003491712024949386,0.0000730537876347958,0.00005827987708452771,0.001012596487235322,0.000028490977177570363,0.000029139938542263855
0.181,0.00033930029390855516,0.00007468071779661927,0.000059594031150563166,0.00098397085233481,0.000029125479940681517,0.000029797015575281583
0.182,0.00032998513434987235,0.00007634509952795043,0.000060932450102269304,0.0009569568896146298,0.00002977458881590067,0.000030466225051134652
0.183,0.0003211826382953021,0.00007804736545447492,0.00006229541121986217,0.000931429651056376,0.00003043847252724522,0.000031147705609931085
0.184,0.00031285390243304044,0.00007978797331966391,0.00006368319745325965,0.0009072763170558172,0.000031117309594668926,0.00003184159872662983
0.185,0.0003049637222623014,0.00008156740463622615,0.00006509609716654292,0.000884394794560674,0.0000318112878081282,0.00003254804858327146
