"ma GeV","Br_Kplus","Br_K0star","Br_K1","Br_K2star","Br_Kstar892","Br_Kstar1410","Br_Kstar1680","Br_Piplus","Br_Total","P_B->a,FNAL (DUNE)","P_B->a,SPS (SHiP)","P_B->a,LHC"
0.048,0.09123377793769345,0.17242734882344296,0.1975369005173392,0.06502143768037989,0.1006406782623571,0.05691849199578486,0.035813385789987724,0.022250798366505314,0.7418428193734905,2.3180246321168164e-10,3.228499949913431e-7,0.007776886644056177
0.049,0.09123391550855108,0.17242772035024165,0.19753657696911361,0.06502104267007806,0.1006406825692618,0.056918109019571436,0.03581308308615711,0.022250720748777843,0.7418418509217527,2.3180216060108482e-10,3.228495735211468e-7,0.007776876491582919
0.05,0.0912340530794087,0.17242809187704036,0.19753625342088804,0.06502064765977623,0.1006406868761665,0.056917726043358007,0.0358127803823265,0.02225064153068408,0.7418408808696485,2.31801857490424e-10,3.2284915135447106e-7,0.0077768663223327
0.051000000000000004,0.09123420513254654,0.1724285025203456,0.19753589577839073,0.06502021104920058,0.10064069163074339,0.056917302752302265,0.035812445814372276,0.022250560712223963,0.7418398153901254,2.3180152456170717e-10,3.228486876577826e-7,0.007776855152697764
0.052000000000000005,0.0912343571856844,0.17242891316365086,0.1975355381358934,0.06501977443862494,0.10064069638532028,0.05691687946124653,0.03581211124641807,0.022250478293397467,0.741838748310236,2.3180119113292636e-10,3.2284822326461476e-7,0.007776843966285867
0.053000000000000005,0.09123450923882229,0.17242932380695616,0.19753518049339605,0.06501933782804929,0.10064070113989718,0.05691645617019078,0.03581177667846385,0.022250394274204523,0.7418376796299802,2.3180085720408157e-10,3.228477581749674e-7,0.007776832763097009
0.054,0.09123466129196015,0.1724297344502614,0.1975348228508987,0.06501890121747365,0.10064070589447408,0.05691603287913505,0.035811442110509635,0.022250308654645088,0.7418366093493578,2.3180052277517276e-10,3.228472923888405e-7,0.007776821543131189
0.055,0.091234813345098,0.17243014509356666,0.1975344652084014,0.065018464606898,0.10064071064905096,0.056915609588079306,0.03581110754255542,0.022250221434719115,0.7418355374683689,2.3180018784619995e-10,3.228468259062342e-7,0.007776810306388406
0.056,0.0912349798808572,0.1724305948559091,0.19753407346066051,0.06501798638997619,0.10064071584959347,0.056915145981714224,0.03581074111030896,0.022250132614426543,0.7418343701434462,2.3179982309401068e-10,3.228463178864278e-7,0.007776798069087777
0.057,0.09123514641661638,0.17243104461825148,0.1975336817129196,0.06501750817305439,0.10064072105013597,0.05691468237534915,0.0358103746780625,0.022250042193767323,0.7418332012181569,2.3179945784175738e-10,3.228458091701419e-7,0.007776785815010183
0.058,0.09123531295237558,0.1724314943805939,0.19753328996517874,0.06501702995613257,0.10064072625067848,0.05691421876898408,0.035810008245816045,0.022249950172741395,0.7418320306925008,2.3179909208943997e-10,3.2284529975737637e-7,0.007776773544155626
0.059000000000000004,0.09123547948813478,0.1724319441429363,0.19753289821743783,0.06501655173921077,0.10064073145122096,0.056913755162619,0.03580964181356958,0.022249856551348715,0.7418308585664778,2.3179872583705844e-10,3.2284478964813114e-7,0.0077767612565241015
0.060000000000000005,0.09123564602389396,0.17243239390527873,0.19753250646969694,0.06501607352228896,0.10064073665176346,0.05691329155625392,0.03580927538132312,0.022249761329589213,0.7418296848400882,2.3179835908461283e-10,3.228442788424064e-7,0.007776748952115613
0.061,0.09123582704264804,0.1724328827894317,0.19753208060469457,0.0650155536923703,0.10064074229640205,0.05691278763406804,0.03580887708459978,0.022249664507462845,0.7418284156516772,2.3179796250329904e-10,3.2284372649160994e-7,0.007776735646959664
0.062,0.09123600806140211,0.17243337167358472,0.19753165473969217,0.06501503386245164,0.10064074794104062,0.05691228371188216,0.035808478787876435,0.022249566084969544,0.7418271448628992,2.3179756542192108e-10,3.2284317344433376e-7,0.007776722325026747
0.063,0.0912361890801562,0.1724338605577377,0.19753122887468977,0.065014514032533,0.10064075358567923,0.056911779789696276,0.03580808049115309,0.02224946606210925,0.7418258724737544,2.3179716784047898e-10,3.2284261970057796e-7,0.0077767089863168635
0.064,0.09123637009891027,0.1724343494418907,0.19753080300968737,0.06501399420261435,0.10064075923031782,0.056911275867510394,0.035807682194429744,0.022249364438881907,0.7418245984842424,2.3179676975897265e-10,3.228420652603423e-7,0.007776695630830012
0.065,0.09123655111766434,0.17243483832604373,0.197530377144685,0.06501347437269568,0.1006407648749564,0.05691077194532451,0.035807283897706405,0.02224926121528745,0.7418233228943634,2.3179637117740214e-10,3.2284151012362697e-7,0.007776682258566191
0.066,0.09123674661981922,0.17243536633502413,0.19752991714935655,0.06501291292255135,0.1006407709616587,0.05691022770676185,0.03580685373630551,0.022249156391325818,0.7418219518228031,2.3179594276082035e-10,3.228409134332839e-7,0.00777666788534881
