"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.060000000000000005,0.000052486177855962365,9.282879316286978e-7,2.528354764372518e-6,0.00015220991578229084,3.620322933351922e-7,1.264177382186259e-6
0.061,0.00005773736447942728,8.608990637383342e-7,2.502970515964529e-6,0.0001674383569903391,3.3575063485795035e-7,1.2514852579822645e-6
0.062,0.00006342921140322642,7.94747970176006e-7,2.477211491516344e-6,0.0001839447130693566,3.0995170836864234e-7,1.238605745758172e-6
0.063,0.00006959570249626466,7.2997662307539e-7,2.4510791298589724e-6,0.00020182753723916753,2.846908829994021e-7,1.2255395649294862e-6
0.064,0.00007627359755216243,6.667323607223666e-7,2.4245748050864673e-6,0.00022119343290127104,2.60025620681723e-7,1.2122874025432336e-6
0.065,0.0000835026930249276,6.05168186902396e-7,2.3976998183429813e-6,0.00024215780977229003,2.3601559289193444e-7,1.1988499091714907e-6
0.066,0.00009132611096991959,5.454430971113844e-7,2.370455388970057e-6,0.0002648457218127668,2.1272280787343992e-7,1.1852276944850284e-6
0.067,0.00009979061966982547,4.877224345657565e-7,2.3428426449581335e-6,0.0002893927970424938,1.9021174948064503e-7,1.1714213224790668e-6
0.068,0.00010894698991078877,4.3217827932285153e-7,2.3148626126407685e-6,0.0003159462707412874,1.685495289359121e-7,1.1574313063203843e-6
0.069,0.00011885039143512288,3.789898742527906e-7,2.286516205564038e-6,0.00034466613516185635,1.4780605095858834e-7,1.143258102782019e-6
0.07,0.00012956083474738675,3.283440920967136e-7,2.2578042124569068e-6,0.00037572642076742156,1.280541959177183e-7,1.1289021062284534e-6
0.07100000000000001,0.00014114366420570773,2.804359484141768e-7,2.2287272842210144e-6,0.0004093166261965524,1.0937001988152894e-7,1.1143636421105072e-6
0.07200000000000001,0.00015367010920889183,2.3546916587725243e-7,2.1992859198501036e-6,0.0004456433167057863,9.183297469212845e-8,1.0996429599250518e-6
0.07300000000000001,0.00016721790131454844,1.9365679612530174e-7,2.1694804511804105e-6,0.00048493191381219044,7.552615048886768e-8,1.0847402255902052e-6
